question,wrong_choices,correct_answer
"How many menus has a calculator in the windows?","Five, Four, Two","Three"
"Which key is used to enter the current date in Excel?","Ctrl+:, Ctrl+Shift+:, Ctrl+Shift+;","Ctrl+;"
"In Excel which key is used to select entire column?","Shift+Space, Alt+Space, None of these","Ctrl+Space"
"In Excel which key is used to select entire row?","Ctrl+Space, Alt+Space, None of these","Shift+Space"
"A combination of 4 bit is called ______?","Byte, Gega Byte, Mega byte","Nibble"
"MODEM stands for ________?","Modulation And Demodulation, Modulator And Electronic Demodulator, Modulator Or Digital Electronic Demodulator","Modulator And Demodulator"
"COMPUTER stands for ________?","Competent Operated Machine Particularly Used for Technical Education and Research, Commonly Operated Machine Particularly Used for Trade Education and Research, Commonly Operated Machine Particularly Used for Technical Electron and Research","Commonly Operated Machine Particularly Used for Technical Education and Research"
"ANSI stands for ________?","American Nation Standard Instruction Codes, Asian National Standard Instruction Codes, Asian Nations Standard Instruction Codes","American National Standard Institute"
"HTML stands for ________?","Hyper Text Magic Line, Hyper Text Markup Line, High Text Markup Language","Hyper Text Markup Language"
"TCP stands for ________?","Transmission Centric Protocol, Transfer Control Protocol, Transmission Control Process","Transmission Control Protocol"
"NOS stands for ________?","New Operating System, Network Operating Source, Network Original System","Network Operating System"
"ISDN stands for ________?","Intelligent Service Digital Network, Integrated Service Double Network, Integrated Secure Digital Network","Integrated Service Digital Network"
"ASCII stands for ________?","American Standard Code for Inked Information, American Standard Code for Information Inked, Asian Standard Code for Information Interchange","American Standard Code for Information Interchange"
"IP stands for ________?","Intranet Process, Internet Process, Intranet Protocol","Internet Protocol"
"MAC stands for ________?","Mass Access Control, Mass Access Carraige, Media Access Carraige","Media Access Control"
"PDF stands for ________?","Printed Document Format, Public Document Format, Published Document Format","Portable Document Format"
"CRT stands for ______?","Crystal Ray Tube, Cabin Ray Tube, Carbon Ray Tube","Cathode Ray Tube"
"PHP stands for ___________?","Processor Hypertext Program, Pre Hypertext Processor, Pre Processor Hypertext","Hypertext Preprocessor"
"SWF stands for ________?","Shut Wave Flash, Shock Wave Player, Shut Wave Flash","Shock Wave Flash"
"ADF stands for ________?","All Disc Feeder, Automatic Document Finder, Automatic Disc Finder","Automatic Document Feeder"
"AGP stands for ________?","Accelerated Group Part, Advanced Graphics Port, Advanced Group Part","Accelerated Graphics Port"
"LCD stands for ________?","Liquid Clear Display, Light Clear Display, Light Crystal Display","Liquid Crystal Display"
"RTF stands for ________?","Right Text Format, Read Text Format, Royal Text Format","Rich Text Format"
"DVI stands for ________?","Digital Video Internet, Disc Video Interface, Disc Video Internet","Digital Video Interface"
"FORTRAN stands for ________?","Formula transistor, Formula train network, Formula translation network","Formula translation"
"BMP stands for ________?","Byte map, Byte map process, Bit map process","Bit map"
"FTP stands for ________?","Fix Transfer Protocol, File Transfer Procedure, First Transfer Protocol","File Transfer Protocol"
"KB stands for ________?","Kernel Boot, Kit Bit, Key Block","Kilo Byte"
"You can detect spelling and grammar errors by ___________?","Press Shift + F7, Press Ctrl + F7, Press Alt+ F7","Press F7"
"CD stands for ______?","Composite Disk, Company Disk, Criteria Disk","Compact Disk"
"What is the maximum number of columns that can be inserted in MS Word Table?","35, 45, 55 E. 65","63"
"COBOL stands for __________?","Common Book Oriented Language, Common Basic Oriented Language, Common Boot Oriented Language","Common Business Oriented Language"
"Shortcut key to split a table is __________________?","Ctrl + Alt + Enter, Alt + Shift + Enter, Alt + space + Enter","Ctrl + Shift + Enter"
"In MS Word, What is the maximum scale percentage available in scale drop down box?","400, 100, 150 E. 300","200"
"How many columns can you insert in a word document in maximum?","35, 45, 55","63"
"WhatsApp was founded in 2009 by:_____________?","Brian Acton, Jan Koum, Mark Zuckerberg","Both A & B"
"What is the smallest width of a column in MS Word?","0″, 1″, 1.5″","0.5″"
"Single spacing in MS-Word document causes ____ point line spacing?","10, 14, 16","12"
"How many different positions can you set for drop cap?","1, 4, 6","2"
"What is the default number of lines to drop for drop cap is ______?","7, 10, 15","3"
"How many ways you can save a document?","4, 5, 6","3"
"How to remove all character formats in MS Word?","Shift + Spacebar, Shift + Enter, Ctrl + Enter","Ctrl + Spacebar"
"ANSI stands for _______?","Asian Narcotics Standards Institute, Asian National Standards Institute, American Narcotics Standards Institute","American National Standards Institute"
"Collection of characters, numbers and symbols is?","Keyboard, Monitor, Ram","Data"
"The PowerPoint view that displays only text (title and bullets) is?","Slide show, Slide sorter view, Notes page view","Outline view"
"VLSI stands for ___________?","Very Large Scale Immunisation, Very Large Scale Industry, Very Low Scale Immunisation","Very Large Scale Integration"
"Pressing F8 key for three times selects ________?","A paragraph, A word, A whole page E. None","A sentence"
"To insert a hyperlink in a slide","Choose Insert >> Hyperlink, Press Ctrl + K, Hyperlinks can’t be inserted in slides","Both a & b"
"___________ is system software to facilitate editing of text and data?","MS Word …., PowerPoint, MS publisher","Editors"
"USB stands for ________?","Uniform Serial Bus, Uniform System Bus, Universal System Bus","Universal Serial Bus"
"Which of the following is/ are operating systems?","Windows, Unix, OS/2","All of these"
"How to start slide show of a presentation?","Hit F5 key, From Slide Show menu choose View Show option, From Slide Show menu choose Rehearse timing","Both a & b"
"The effect applied to display when slides changes in slide show view is ______?","Custom Animation, Slide Animation, Custom Transition","Slide Transition"
"Physical structure of computer is called __________?","Software, Human ware, All of these","Hardware"
"GPS stands for ________?","Grade Positioning System, Global Post System, Guarantee Positioning System","Global Positioning System"
"Who is the father of personal computer?","Allen Turing, Charles Babbage, None of these","Edward Robert"
"ASP stands for","Active Start Pages, Action Start Pages, Active Standalone Pages","Active Server Pages"
"Abacus was the first __________________.","Electronic computer, mechanical computer, electronic calculator","mechanical calculator"
"Shortcut to quit Microsoft Word, Powerpoint, Access, Excel etc is ______________.","Ctrl + W, Shift + F4, Alt + W","Alt + F4"
"What is an interpreter?","An interpreter is the representation of the system being designe, An interpreter is a general purpose language providing very efficient execution., None of these","An interpreter does the conversion line by line as the program is run."
"LED stands for","Light Emission Digit, Light Emission Depot, Light Emission Direct","Light Emitting Diode"
"Which generation of computer is still under development?","Fourth Generation, Sixth Generation, Seventh Generation","Fifth Generation"
"NIC stands for","Network Information center, Network Identity Card, Network Internet Card","Network Interface Card"
"Shortcut key to double underline the selected text is _______.","Ctrl + Alt + D, Shift + Alt + U, Ctrl + Shift + U","Ctrl + Shift + D"
"Word length of a personal computer is _______.","4 bits, 16 bits, 64 bits","8 bits"
"RJ45 UTP cable has ______ cables.","2 pair, 3 pair, 5 pair","4 pair"
"BCD stands for","Bit Coded Decimal, Binary Coded Digit, Bit Coded Digit","Binary Coded Decimal"
"The arranging of data in a logical sequence is called ____________.","Classifying, Summarizing, Reproducing","Sorting"
"FDD stands for","Flight Dynamics Division, Feature Driven Development, Frequency Division Duplex","Floppy Disk Drive"
"When was the first electro-mechanic Computer developed?","1880, 1960, 1980","1944"
"_____ computers are also called personal computers.","Super Computers, Mini Computers, Mainframe Computers","Micro Computers"
"PDA stands for","People’s Digital Assistant, Personal Data Assistant, People’s Data Assistant","Personal Digital Assistant"
"Which of the following is machine independence program?","Low level language, Assembly language, Machine language","High level language"
"Programs designed to perform specific task is known as ________________.","System software, Utility programs, Operating system","Application software"
"HDD stands for","High Density Disk, Heavy Duty Diesel, Heating Degree Days","Hard Disk Drive"
"Which is another name for functional language?","Machine, Low-level language, High-level language","Application language"
"Compilers and interpreters are themselves:______________?","High-level language, Codes, Mnemonics","Programs"
"SATA stands for","Student Athletic Training Association, Specialized Assault Tactical Androids, Student Air Travel Association","Serial Advanced Technology Attachment"
"Printer is an ________________.","Input device, Software, None of above","Output device"
"Which of the following is the largest storage?","Megabyte, Kilobyte, Terabyte E. Gigabyte","Petabyte"
"DMA stands for","Direct Module Access, Distinct Module Access, Direct Memory Allocation","Direct Memory Access"
"API stands for","Algorithmic Protocol Interface, Adapter Protocol Interface, Accellerated Programming Interface","Application Programming Interface"
"Website is a ___________.","Data, Search engine, None","Address"
"Bit is also called ______________.","Small, Character, Byte","Binary Digit"
"HDMI stands for","High-Definition Multimedia Input, High-Density Multichip Interconnect, High-Definition Multichip Interconnect","High-Definition Multimedia Interface"
"____________ is the shortcut key to display active cell in Excel.","Shift + Backspace, Alt + Backspace, None","Ctrl + Backspace"
"_________ is the largest computer.","Mini Computer, Micro Computer, Super Computer","Mainframe Computer"
"Shortcut key to insert a new worksheet in Excel is ____________.","Shift + F8, Shift + F9, Shift + F10","Shift + F11"
"_________ is the shortcut key to select the entire column in Excel.","Alt + Space bar, Shift + Space bar, None","Ctrl + Space bar"
"_________ is the shortcut key to select the entire row in Excel.","Alt + Space bar, Ctrl + Space bar, None","Shift + Space bar"
"Shortcut to insert new slide in the current presentation is ______________.","Ctrl+N, Ctrl+O, Ctrl+D E. None","Ctrl+M"
"Which technology provides a solution for PC virtualization?","Server Clustering, Terminal Services, RAID","Hyper-Visor"
"Which shortcut key is used for calculating current sheet in Ms Excel?","Ctrl+F9, F9, F7","Shift+F9"
"Who was the World first Computer Programmer?","Niklaus Wirth, Bill Gates, Dennis Ritchie","Ada Lovelace"
"Shortcut key to open Font dialog box is ____________.","Ctrl+Shift+D, Ctrl+Alt+ D, Alt+D","Ctrl+D"
"DVD Stands For:__________?","Digital Versatile Drive, Digital volume disk, Digital Video drive","Digital Versatile Disk"
"OCR stands for____________?","Output Character Recorder, Output Character Recognition, Optical Character Recorder","Optical Character Recognition"
"In peer-to-peer networking:","there is only one server and many clients, there is only one client and many servers, every computer is capable of playing the role of server","every computer is capable of playing the role of client, server or both at the same time"
"Disk and tape drives are commonly used?","Hard copy, Soft copy, none of the above","Secondary storage devices"
"In 1999, the Melissa virus was a widely publicized:_____________?","Macro virus, Trojan horse, Time bomb","E-mail virus"
"FTP stand for__________?","File Transfer Post, File Transit Protocol, None of these","File Transfer Protocol"
"Which language does MS-Word use to create Macros?","Visual C++, Visual Java, None of the above","Visual Basic"
"Components of computer system are?","Hardware, Software, Applications","Both A and B"
"Which language is used to create macros in Excel?","C, Visual C++, Java","Visual Basic"
"The birthplace of the World Wide Web was__________?","NASA, Pentagon, Microsoft","CERN"
"Ctrl+B is used to?","To underline the selected text, To save the text, To itallic the text","To Bold the selected text"
"A device through which we enter data in a computer known as ___________?","Storage Device, Internal Device, Prcessing Device","Input Device"
"Digital computer was invented by?","Steve Jobs, Charless babbage, James watson","John Vincent Atanasoff"
"MS-Access is program for____________?","Presentation, Documentation, Calculation","Data Base"
"Which of the following is non-available memory?","RAM, DRAM, PROM","Register"
"SQL is a query language and has types_______________?","Data definition language, Data manipulation language, Data control language","All of the above"
"DBMS stands for____________?","Database maintaince system, Database maintaince and storage, Database management Sound","Database management system"
"____________is the process of making changes to a document’s existing content.","Creating, Cutting, Forming","Editing"
"An Email is a combination of_____________?","Name and Address, Name and Phone no, User Name and User id","User Name and Domain Name"
"Types of e-commerce____________?","Business-to-Business (B2B), Consumer-to-Consumer (C2C), Business-to-Consumer (B2C)","All of above"
"Handheld computer is also called__________?","Laptop computer, Notebook computer, None of these","Palmtop computer"
"ISP stands for___________?","internet server provider, internal server provider, insta service provider","internet service provider"
"How many ways you can save a document in Microsoft word?","2, 1, 5","3"
"Android was founded in_________?","2005, 2004, 2006","2003"
"In computer, ALU has____________?","3units, 4units, 5units","2units"
"In 1940, first electronic computer was invented by_______?","Clifford Bery, George Boole, John V.Atanasoff","Atanasoff and Berry"
"Computers that are used in large organizations such as insurance companies and banks, where many people frequently need to use same data, are____?","super computers, hybrid computers, desktop computers","mainframe computers"
"Compiler can check___________?","Logical Error, Both Logical and Syntax Error, None of these","Syntax Error"
"The word Computer used for the first time in____________?","1614, 1615, 1616","1613"
"The ribbon is used in_________?","Laser Printer, Plotter, Ink-jet printer","Dot Matrix printer"
"Shortcut key to create a New Folder on Windows PC is ___________?","Ctrl+N, Ctrl+Alt+N, None.","Ctrl+Shit+N"
"Who is the founder of IBM Company?","Nolan Bushnell, Steve Jobs, Bill Gates","Thomas J. Watson"
"How many sheets are there in Excel Workbook by default?","2, 4, 5","3"
"Files created with Lotus 1-2-3 have an extension?","DOC, WK1, XLS","123"
"Operating system is like a______?","Police, Parliament, All of above","Government"
"Which one is not a nickname of a version of Andriod?","Honeycomb, Cupcake, Gingerbread","Muffin"
"Windows 10 was launched in which year?","2012, 2013, 2014","2015"
"Which of the following types of memory improves processing by acting as a temporary high-speed holding area between the memory and the CPU?","RAM, ROM, EPROM E. Flash memory","Cache memory"
"Pressing F8 key for three time selects____________?","A paragraph, A word, Entire document","A sentence"
"Which device is used to process data?","RAM, DCU, VDU","CPU"
"Rearranging data in a new sequence is known as__________?","Uploading, Updating, Summarizing","Sorting"
"Shortcut key for Change case is____________?","Ctrl+Shift+F3, Ctrl+F5, Ctrl+Alt","Shift+F3"
"Vector graphics is composed of_____________?","Pixels, Palette, None of above","Paths"
"Which of the following is true regarding page Orientation of a Document?","Page Orientation of document determines by printer, Page Orientation must be set before start typing, Page Orientation of a document cannot be changed","Page Orientation can be changed at any time"
"Wifi Stands For_____________?","Wireless functioning, Wireless function, None of the above","Wireless Fidelity"
"The World Wide Web was invented by____________?","Bob Kahn, Steve Jobs, Bill Gates","Tim Berners-Lee"
"Smallest font size in MS-word is____________?","6, 10, 12","8"
"TCP/IP invented by_____________?","Robert E. Kahn, Vint Cerf, Alan turing","A & B"
"CSS stands for__________?","Central Superior Services, Both, None of above","Cascading style sheets"
"Process of loading and fixing or bypassing errors in computer program code is called___________?","Defusing, Defragmenting, Defrosting","Debugging"
"IC are classified on the basis of_____________?","Manufacturing company, Type of computer, None of these","Number of transistors"
"In which generation Computers vacuum tube were used?","Second generation, Third generation, Fourth generation","First generation"
"Which of the printers used in conjunction with computers uses dry ink powder?","Daisy wheel printer, Line printer, Thermal printer","Laser printer"
"The proper definition of a modern digital computer is____________?","A more sophistic and modified electronic pocket calculator, Any machine that can perform mathematical operations, A machine that works on binary code","An electronic automated machine that can solve problems involving words and numbers"
"Who invented Slide Rules?","John Napier, Gottfried Leibnitz, Blaise Pascal","William Oughtred"
"In_______________mode, the communication channel is used in both directions at the same time?","Simplex, Half-duplex, None of the above","Full-duplex"
"Serial access memories are useful in applications where:","Data consists of numbers, Short access time is required, Each stored word is processed differently","Data naturally needs to flow in and out in serial form"
"What do you call the translator which takes assembly language program as input & produce machine language code as output?","Compiler, Interpreter, Debugger","Assembler"
"Which of the following memories must be refreshed many times per second?","Static RAM, EPROM, ROM","Dynamic RAM"
"The programs which are as permanent as hardware and stored in ROM is known as___________?","Hardware, Software, ROM ware","Firmware"
"Identify the true statement about computer.","Computers are 100% accurate but it can suffer from GIGO (Garbage In Garbage Out), Computers are reliable because they use electronic component which have very low failure rate, Computer is never tired and does not suffer from boredom","All of above"
"One of the popular mass storage device is CD ROM. What does CD ROM stand for?","Compactable Read Only Memory, Compact Data Read Only Memory, Compactable Disk Read Only Memory","Compact Disk Read Only Memory"
"Which of the following is a secondary memory device?","Keyboard, ALU, All of the above","Disk"
"By programmable machine we mean_____________?","modern television, washing machines, anything that can be set to perform different tasks with suitable programs","computers"
"Which statement is valid about computer program?","High level language programs are more efficient and faster to execute, It is more difficult to identify errors in high level language program than in low level programs, All of above","High level languages must be converted into machine language to execute"
"Microprocessors can be used to make________________?","Computer, Digital systems, Calculators","All of the above"
"Memory unit is one part of____________?","Input device, Control unit, Output device","Central Processing Unit"
"Which of the following software could assist someone who cannot use their hands for computer input?","Video conferencing, Audio digitizer, Synthesizer","Speech recognition"
"When entering text within a document, the Enter key is normally pressed at the end of every____________?","Line, Sentence, Word E. None of these","Paragraph"
"A(n)____________language reflects the way people think mathematically.","cross-platform programming, 3GL business programming, event driven programming","functional"
"What is the name given to those applications that combine text, sound, graphics, motion video, and/or animation?","Motionware, Anigraphics, Videoscapes E. None of these","Multimedia"
"A(n)_____________program is one that is ready to run and does not need to be altered in any way.","Interpreter, High level, Compiler","Executable"
"A(n)_____________is a set of programs designed to manage the resources of a computer, including starting the computer, managing programs, managing memory and coordinating tasks between input and output devices?","application suite, compiler, input/output system E. None of these","Operating system"
"In power point, the header and footer button can be found on the insert tab in what group?","Illustrations group, Object group, Tables group","Text group"
"Forms that are used to organize business data into rows and coloumns are called_____________?","transaction sheets, registers, business forms","spread sheets"
"A detailed written description of the programming cycle and the program, along with the test results and a printout of the program is called___________?","output, reporting, spec sheets","documentation"
"A set of rules for telling the computer what operations to perform is called a______________?","procedural language, structures, natural language","programming language"
"Which of these is a point and draw device?","Scanner, Printer, CD-ROM","Mouse"
"Fourth generation mobile technology provides enhanced capabilities allowing the transfer of both____________data, including full-motion video, high-speed internet access, and video conferencing.","video data and information, music and video, video and audio","voice and non-voice"
"What is the overall term for creating editing, formatting, storing, retrieving and printing a text document?","Spreadsheet design, Web design, Database management","Word processing"
"Which of these is not a means of personal communication on the internet?","Chat, Instant messaging, Electronic mail","Insta notes"
"What feature adjusts the top and bottom margins so that the text is centered vertically on the printed page?","Vertical adjusting, Dual centering, Horizontal centering","Vertical justifying"
"_______________devices convert human understandable data and programs into a form that the computer can process?","Printing, Output, Solid state","Input"
"The software that is used to create text-based documents are referred to as_________________?","DBMS, Suites, Spreadsheets","Word processors"
"_______________is the most important/powerful computer in a typical network?","Desktop, Network client, Network station","Network server"
"_____________is a windows utility program that locates and eliminates unncessary fragments and rearranges filed and unused disk space to optimize operations?","Backup, Disk cleanup, Restore","Disk Defragmenter"
"A(n)_______________appearing on a web page opens another document when clicke","anchor, URL, reference","hyperlink"
"The CPU comprises of Control, Memory and_______________units?","Microprocessor, Output, ROM","Arithmetic/Logic"
"To display the contents of a folder in Windows Explorer you should:","collapse it, name it, give it a password E. None of these","click on it"
"Which of the following uses a handheld operating system?","supercomputer, personal computer, Laptop","PDA"
"C’ in CPU denotes___________?","Common, Convenient, Computer E. None of these","Central"
"In which type of computer, data are represented as discrete signals?","Analog computer, both, Hybrid Computer","Digital computer"
"physical structure of computer is called____________?","Software, Human ware, All of these","Hardware"
"In world today, most of the computers are_____________?","Hybrid, Analog, Complex","Digital"
"Computers, combine both measuring and counting, are called________________?","Analog, Digital, All of these","Hybrid"
"_______________are system software to facilitate editing of text and data?","MS Word, PowerPoint, MS publisher","Editors"
"NOS stands for______________?","Node operating system, Non-open software, Non-operating software","Network Operating system"
"_____________are set of rules and procedures to control the data transmission over the internet?","IP address, Domains, Gateway","Protocol"
"LAN stands for______________?","Limited Area Network, Logical Area Network, Large Area Network","Local Area Network"
"VOIP stands for___________?","Video over IP, Viruses over IP, Virtual over IP","Voice over IP"
"Which of the following is a network topology?","LAN, WAN, MAN","BUS"
"“MAN” stands for_______________?","Maximum Area Network, Minimum Area Network, Main Area Network","Metropolitan Area Network"
"_______________are specific to users’ needs?","System software, Assemblers, Compilers","Application software"
"____________are used for plotting graphs and design on papers?","Trackball, Joystick, Light pen","Plotters"
"Touch Screen is___________?","Input device, Output device, None of these","Both A & B above"
"Note book, laptop,palm,hand-held computers are coming under the category of__________computer?","Digital computer, Mainframe computer, Hybrid computer","Portable computer"
"_________computer are of large size?","Micro, Super, Mini","Mainframe"
"____________computer is a medium sized computer?","Micro, Mainframe, Super","Mini"
"Cathode Ray Tube is a form of__________?","Keyboard, Mouse, Mother board","Monitor"
"____________computer is small general purpose micro computer, but larger than portable computer?","Hybrid, Digital, Laptop","Desktop"
"_____________computers operates essentially by counting?","Portable computer, Hybrid computer, Analog computer","Digital computer"
"The first electronic computer was developed by____________?","Bill Gates, Simur Cray, Winton Serf","J.V. Attansoff"
"___________refers to electronic trespassing or criminal hacking?","Jacking, Spoofing, Smarming","Cracking"
"__________is defined as any crime completed through the use of computer technology?","Computer forensics, Hacking, Cracking","Computer crime"
"To prevent the loss of data during power failures, use a(n)_____________?","Encryption program, Surge protector, Firewall","UPS"
"The scrambling of code is known as___________?","a firewall, Scrambling, Password proofing","Encryption"
"Hardware or software designed to guard against unauthorized access to a computer network is known as a(n)___________?","Hacker-proof program, Hacker-resistant server, Encryption safe wall","Firewall"
"What is the most common tool used to restrict access to a computer system?","User logins, Computer keys, Access-control software","Passwords"
"____________is the measurement of things such as fingerprints and retinal scans used for security access?","Bio measurement, Computer security, Smart weapon machinery","Biometrics"
"What is the name of an application program that gathers user information and sends it to someone through the Internet?","A virus, Logic bomb, Security patch","Spybot"
"When a logic bomb is activated by a time-related event, it is known as a____________?","Time-related bomb sequence., Virus., Trojan horse.","Time bom"
"The thing that eventually terminates a worm virus is a lack of:","Time., CD drives space., CD-RW.","Memory or disk space."
"What type of virus uses computer hosts to reproduce itself?","Time bomb, Melissa virus, Macro virus","Worm"
"In 1999, the Melissa virus was a widely publicised:____________?","Macro virus., Trojan horse., Time bom","E-mail virus."
"An intentionally disruptive program that spreads from program to program or from disk to disk is known as a_____________?","Trojan horse., Time bom, Time-related bomb sequence.","Virus."
"A program that performs a useful task while simultaneously allowing destructive acts is a___________?","Worm., Virus., Macro virus","Trojan horse."
"Malicious software is known as____________?","Badware., Maliciousware., Illegalware","Malware."
"Collecting personal information and effectively posing as another individual is known as the crime of_____________?","Spooling., Spoofing., Hacking.","Identity theft."
"The common name for the crime of stealing passwords is____________?","Jacking., Identity theft., Hacking.","Spoofing."
"The typical computer criminal is a(n)____________?","Young hacker., Trusted employee with a long, but unknown criminal recor, Overseas young cracker.","Trusted employee with no criminal recor"
"The computer abbreviation KB usually means____________?","Key Block, Kernel Boot, Kit Bit","Kilo Byte"
"Which of the following is not a storage medium?","Hard disk, Flash drive, DVD","scanner"
"Large transaction processing systems in automated organisations use___________?","Online processing, Once-a-day Processing, End-of-day processing","Batch Processing"
"A modem is connected to_____________?","a keyboard, a printer, a monitor","a telephone line"
"Which of the following contains permanent data and gets updated during the processing of transactions?","Operating System File, Transaction file, Software File","Master file"
"Which of the following is the smallest storage?","Gigabyte, Terabyte, None of these","Megabyte"
"Which of the following does not store data permanently?","ROM, Floppy Disk, Hard Disk","RAM"
"Which of the following is not a binary number?","001, 101, 110","202"
"A computer system that is old and perhaps not satisfactory is referred to as a(n)____________?","Ancient system, Historical system, Age old system","Legacy system"
"When a computer is switched on, the booting process performs___________?","Integrity Test, Correct Functioning Test, Reliability Test","Power-On Self-Test"
"Which part of the computer is directly involved in executing the instructions of the computer program?","The scanner, The main storage, The secondary storage","The processor"
"ASCII is a coding system that provides_____________?","256 different characters, 512 different characters, 1024 different characters","128 different characters"
"The process of transferring files from a computer on the Internet to your computer is called_____________?","uploading, FTP, JPEG","Downloading"
"A DVD is an example of a (n)___________?","hard disk, output device, solid-state storage device","optical disc"
"To access properties of an object, the mouse technique to use is_____________?","Dragging, dropping, shift-clicking","right-clicking"
"A person who used his or her expertise to gain access to other people’s computers to get information illegally or do damage is a____________?","spammer, instant messenger, programmer","Hacker"
"A device that connects to a network without the use of cables is said to be___________?","Distributed, free, centralized","none of these"
"The most common type of storage devices are_________?","magnetic storage, Flash memory, optical","Both A & B"
"Reusable optical storage will typically have the acronym________?","CD, DVD, ROM","RW"
"Why is it unethical to share copyrighted files with your friends?","It is not unethical, because it is legal., It is unethical because the files are being given for free., It is not unethical because the files are being given for free.","Sharing copyrighted files without permission breaks copyright laws."
"Codes consisting of lines of varying widths or lengths that are computer-readable are known as__________?","an ASCII code, a magnetic tape, an OCR scanner","a bar code"
"_____________are used to identify a user who returns to a Website?","Plug-ins, Scripts, ASPs","Cookies"
"The_____________data mining technique derives rules from real-world case examples?","Rule discover, Signal processing, Case-based reasoning","Neural nets"
"Where does most data go first with in a computer memory hierarchy ?","ROM, BIOS, CACHE","RAM"
"The ability to recover and read deleted or damaged files from a criminal’s computer is an example of a law enforcement speciality called___________?","robotics, simulation, animation","computer forensics"
"Computers manipulate data in many ways, and this manipulation is called___________?","upgrading, batching, utilizing","processing"
"Computers process data into information by working exclusively with____________?","multimedia, word, characters","numbers"
"When creating a computer program, the____________designs the structure of the program?","End user, Programmer, All of the above","System Analyst"
"______________is the science that attempts to produce machines that display the same type of intelligence that humans do?","Nanoscience, Nanotechnology, Simulation","Artificial intelligence (Al)"
"The CPU and memory are located on the__________?","expansion board, storage device, output device","motherboard"
"All of the following are examples of storage devices EXCEPT____________?","hard disk drives, floppy disk drives, CD drives","printers"
"Which of the following is NOT one of the four major data processing functions of a computer?","gathering data, processing data into information, storing the data or information","analyzing the data or information"
"All of the following are examples of real security and privacy risks EXCEPT____________?","hackers, Viruses, identity theft","Spam"
"COBOL is an acronym for________________?","Computer Business Oriented Language, Common Business Operated Language, Common Business Organized Language","Common Business Oriented Language"
"A________________is an additional set of commands that the computer displays after you make a selection from the main menu?","submenu, menu selection, All of the above","dialog box"
"Select the Odd one from the following","Interpreter, Compiler, Assembler","Operating system"
"___________Store data or information temporarily and pass it on as directed by the control unit?","Address, Number, Memory","Register"
"Which one of the following is NOT a computer language?","BASIC, COBOL, C++","MS-Excel"
"Magnetic disk is an example of____________?","Primary memory, Main memory, Both (1) and (2)","Secondary memory"
"RAM is an example of___________?","Secondary memory, Both, and","Primary memory"
"ALU and Control Unit jointly known as__________?","RAM, ROM, PC","CPU"
"The task of performing operations like arithmetic and logical operations is called____________?","Storing, Editing, Sorting","Processing"
"_________________provides process and memory management services that allow two or more tasks, jobs, or programs to run simultaneously?","Multithreading, Multiprocessing, Multicomputing","Multitasking"
"_______________is the ability of a device to “jump” directly to the requested data?","Sequential access, Quick access, All of the above","Random access"
"You use a(n)___________such as a keyboard or mouse, to input information?","output device, storage device, processing device","input device"
"On-line real time systems become popular in______________generation?","First Generation, Second Generation, Fourth Generation","Third Generation"
"What is the other name for programmed chip?","RAM, LSIC, PROM","ROM"
"A device, which is not connected to CPU, is called as___________?","land-line device, On-line device, Device","Off-line device"
"_____________is computer software designed to operate the computer hardware and to provide platform for running application software?","Application software, Software, None of these","System software"
"What kind of memory is both static and non -volatile?","RAM, BIOS, CACHE","ROM"
"The primary function of the__________is to set up the hardware and load and start an operating system?","System Programs, CP, Memory","BIOS"
"To move a copy of file from one computer to another over a communication channel is called?","File encryption, File modification, File copying","File transfer"
"Which of the following are the functions of a operating system?","Allocates resources, Monitors Activities, Manages disks and files","All of the above"
"RAM can be treated as the____________for the computer’s processor?","factory, operating room, planning room","waiting room"
"A ____________is a microprocessor -based computing device?","mainframe, workstation, server","personal computer"
"Data becomes____________when it is presented in a format that people can understand and use.","processed, graphs, presentation","information"
"____________Is the functional key to display save-as box?","F5, F6, F9","F12"
"___________is the key we use to run the selected command?","SHIFT, TAB, CTRL","ENTER"
"___________ is the key to close a selected drop -down list; cancel a command and close a dialog box.","TAB, SHIFT, F10","ESC"
"An area of a computer that temporarily holds data waiting to be processed is___________?","CPU, Storage, File","Memory"
"The instructions that tell a computer how to carry out the processing tasks are referred to as computer___________?","processors, input devices, memory modules","programs"
"Father of “C‘ programming language?","Prof John Keenly, Thomas Kurtz, Bill Gates","Dennis Ritchie"
"BIOS stands for__________?","Binary Input output system, Basic Input Off system, all the above","Basic Input Output system"
"1 Byte =___________?","4 bits, 2 bits, 9 bits","8 bits"
"RAM stands for___________?","Random origin money, Random only memory, Read only memory","Random access memory"
"____________translates and executes program at run time line by line?","Compiler, Linker, Loader","Interpreter"
"Which of the following is also known as brain of computer?","Control unit, Arithmetic and language unit, Monitor","Central Processing unit"
"Examples of output devices are?","Screen, Printer, Speaker","All of these"
"Which of the following are input devices?","Keyboard, Mouse, Card reader","All of these"
"Who is the Current CEO of Microsoft?","Babbage, Bill Gates, Bill Clinton","Satya Nadella"
"DOS stands for____________?","Disk operating session, Digital Operating System, Digital Open system","Disk Operating System"
"Unwanted repetitious messages, such as unsolicited bulk e-mail is known as_________?","Trash, Calibri, Courier","Spam"
"A self replicating program, similar to a virus which was taken from a 1970s science fiction novel by John Bruner entitled the Shockwave Rider is__________?","Bug, Vice, Lice","Worm"
