question,wrong_choice,correct_answer
Who is the current DG of Pakistan Sports Board (PSB)?,"A. Muhammad Sadam
B. Ijaz Hussain

D. Kamran Javaid",C. Aamir Ali Ahmed
"In which city of Pakistan, The US airforce C-130 flew to take US defense attache.But was later stopped from flying by FIA?","A. Lahore

C. Karachi
D. Rawalpindi",B. Islamabad
US defense attache’ Col Joseph hall is under investigation due to his involvement in the ________?,"A. Drug trafficking

C. Money laundering
D. Violence",B. Fatal road accident
"In tit-for-tat move, Pakistan has imposed travel ban on the diplomats of which country?","B. Germany
C. France
D. Russia",A. USA
Which famous social media website blocked dawn.com post in Pakistan mistakenly and later restored it after apologizing?,"A. Twitter

C. Instagram
D. Tumblr",B. Fb
Which business group owns third largest percentage of KSE’s market capitalisation?,"A. Atlas group

C. Chinnoy group
D. Js group",B. Fauji foundation
Which business group owns second largest percentage of KSE’s market capitalisation?,"A. Habib group

C. Bestway group
D. Tabba group",B. Hussain dawood group
"Which business group is on the top, owning largest percentage of KSE’s market capitalisation?","A. Hussain dawood group

C. Fauji foundation
D. Mansha group",B. IGI group
Which former chairman of national insurance company limited has been ordered by SC to be arrested in a pending corruption case?,"A. Tariq Aziz

C. Sanaullah khan
D. Mehmood ahmad",B. Ayaz khan niazi
Moneeza hashmi was listed as a speaker at the 15th Asia media summit in Delhi b/w may 10-12.She is the daughter of which Pakistani poet?,"A. Ahmad faraz

C. Parveen shakir
D. Anwar masood",B. Faiz ahmad faiz
Who has been deported from India after being invited to speak at a conference in New Delhi?,"A. Prasar bharti

C. Chang jin
D. Ali hashmi",B. Moneeza hashmi
Most of the illegal recruits by sindh police during 2012-2015 are done in _________?,"A. Department of training

C. Special branch
D. Department of transport and telecommunications",B. Sindh reserve police
"As per report on police department, as many as 4748 officers are recruited illegally and without due diligence during 2012-2015.In which province these recruitments are done?","A. KPK

C. Punjab
D. Balochistan",B. Sindh
Interior minister Ahsan iqbal is under treatment at which public sector hospital of Pakistan?,"A. PIMS

C. Lady reading hospital
D. Sindh Institute of urology and transplantation",B. Lahore services hospital
"As per CJP, what estimated cost is required to place the sticker of Markhor on the tail of each plane of PIA?","A. 3m
B. 4m

D. 5m",C. 3.4m
Which airline service of Pakistan has been planning to replace national flag with the picture of an animal on the tails of aircraft?,"A. Airblue

C. Princely jets
D. Shaheen air",B. PIA
Which airline service of Pakistan has been barred by SC from placing image of Markhor on aircraft’s tail?,"A. Airblue

C. Princely jets
D. Shaheen air",B. PIA
Who has suggested NSC meeting to PM for discussing recent misleading media statement regarding Bombay incident?,"A. CJP

C. President
D. DG ISI",B. COAS
Col Joseph Hall involved in a fatal road accident was stopped from flying out on an American military aircraft by the ______.,"A. SC
B. IB

D. NACTA",C. FIA
_____ ordered Air Blue officials to pay compensation to the victims of 2010 Margalla Hills crash.,"A. IHC

C. LHC
D. CAA",B. SC
"International _______ was celebrated across the world as well as in Pakistan on May 13, 2018.","A. Father’s Day

C. Friendship’s Day
D. Teacher’s Day",B. Mother’s Day
"_________ court has summoned Shehbaz’s son-in-law in Saaf Pani Company case on May 21,2018.","A. SC
B. IHC

D. LHC",C. NAB
Which party chief announced 10-point agenda for Karachi development?,"A. PPP
B. MQM

D. PML-N",C. PTI
The KPK health department paid Rs ____________ for each dengue fever-related death in December last year.,"B. 600, 000
C. 700, 000
D. 800, 000","A. 500, 000"
"Mansoor ahmed was a Pakistani goalkeeper. With his winning penalty save, Pakistan won hockey world cup in _______?","A. 1990
B. 1970
C. 1987",D. 1994
Pakistan’s hockey goalkeeper Mansoor Ahmed has passed away in karachi on _______?,"A. 11 May 2018
B. 10 May 2018
C. 9 May 2018",D. 12 May 2018
Shahid khaqan abbasi has been summoned by CJP in pilots’ fake degree case. He is the head and CEO of which airline of Pakistan?,"A. PIA

C. Shaheen airlines
D. Orient airlines",B. Airblue
Who has summoned heads of all Pakistani airlines in pilots’ fake degree case?,"A. IHC

C. CAA
D. President",B. SC
"As per findings by CAA, how many crew members of PIA are found to be holding fake degrees?","A. 80
B. 90

D. 50",C. 67
"As per findings by CAA, how many pilots of PIA are found to be holding fake degrees?","A. 35
B. 40

D. 28",C. 24
How many international NGOs are told to shut down their operations in Islamabad?,"A. 15
B. 20

D. 25",C. 11
Muhammad Ali jinnah park is the first ever park to be named after Quaid-e-azam.This park is in which province of Canada?,"A. Ontario

C. Quebec
D. Alberta",B. Manitoba
In which country Pakistan’s high commission is set to inaugurate “The Muhammad Ali jinnah park” on 12 may 2018?,"B. Russia
C. USA
D. India",A. Canada
"The Pakistan Telecommunication Authority (PTA) has launched __________ system to block stolen, & smuggled cellphones.","A. RBS
B. DVS

D. MBS",C. DIRBS
"According to Forbes Magazine in its annual ranking for 2018, Chief of Army Staff Gen Qamar Javed Bajwa has been ranked as the____________most powerful person in the world on a list of 75.","A. 56th
B. 64th

D. 75th",C. 68th
Islamabad High Court (IHC) dismissed ECP’s ban on recruitment & developmental projects on ____________.,"A. May 7, 2018
B. May 8, 2018
C. May 9, 2018","D. May 10, 2018"
The _______Court has lifted ban on the recruitment in government institutions which was imposed by the Election Commission of Pakistan (ECP) before the general elections of 2018.,"A. SC

C. LHC
D. None",B. IHC
The State Bank of Pakistan has issued coin of what amount to commemorate the memory of renowned humanitarian Dr Ruth Pfau.,"A. 5 RS
B. 10 RS

D. 100 RS",C. 50 RS
Several cities across Pakistan have been jolted by earthquake of what magnitude on 9 may 2018?,"A. 5
B. 5.5

D. 7",C. 6.4
Which party leader is continuously being denied US visa?,"A. Nawaz sharif

C. Imran khan
D. Asif Zardari",B. Farooq sattar
JPSM (Alliance formed by South Punjab lawmakers) has merged with which political party?,"A. PMLN

C. PPP
D. PSP",B. PTI
SC has stopped sale & purchase of land in which famous real-estate development company?,"A. Lahore property point

C. NB&RE
D. Evershine property advisor",B. Bahria town
"As per UNDP report, how much percentage of Pakistan’s total population is under 30?","A. 70
B. 80

D. 46",C. 64
"As per UNDP report, which of the following country has largest youth population of it’s history at present?","B. Russia
C. India
D. USA",A. Pakistan
"Several has been injured in violent clashes in karachi on May 7, 2018.Workers of which political parties were involved in the clashes?","A. PAT & TLP

C. PMLN & MQM-P
D. PPP & MQM-L",B. PPP & PTI
SC has ordered inquiry against which ex-aviation head over his alleged mismanagement in PIA?,"A. Omar qureshi

C. Jacqueline Kennedy
D. Farhan Ali",B. Shujaat Azeem
SCOON has announced to conduct vocational courses for disabled people in Pakistan.This organization belongs to which country?,"B. Thailand
C. Srilanka
D. USA",A. Norway
Which federal minister was shot and injured in Narowal district on 6 may 2018?,"A. Tall choudhary

C. Rana Sanaullah
D. Maryam Aurangzeb",B. Ahsan iqbal
South Punjab lawmakers has formed a new alliance named JPSM.Under the alliance they are demanding for?,"A. Funds

C. Construction projects
D. All",B. New province
Which country has signed $200m pact with Pakistan for uplift schemes in may 2018?,"B. Germany
C. Russia
D. N.korea",A. UAE
Which country’s automaker has signed a MOU to set up a manufacturing unit of Mercedes-Benz truck in Pakistan?,"B. Russia
C. N.korea
D. Srilanka",A. Germany
Pakistani and Indian troops for the first time will participate in a joint exercise in Russia under which organization?,"A. United nations

C. Interpol
D. IAEA",B. SCO
Which Pakistani hockey legend is seeking to undergo heart transplant from India?,"A. Sohail abbass

C. Shabazz ahmed
D. Shahnawaz shaikh",B. Mansoor ahmed
Which of the following company has fully acquired Daraz group?,"A. Baidu

C. Bay
D. Amazon",B. Alibaba
Who has ordered the Airing of Azan five times a day for all channels during Ramzan?,"A. SC

C. SHC
D. LHC",B. IHC
Who has ordered that No “circus or Neelam ghar” will be allowed on TV this Ramzan?,"A. SC

C. Shc
D. Lhc",B. IHC
The mobile phone companies in Pakistan charge _______ per cent withholding tax.,"A. 10.5
B. 11.5

D. 13.5",C. 12.5
The mobile phone companies in Pakistan charge _______ per cent sales tax.,"A. 13.5
B. 15.5
C. 17.5",D. 19.5
The mobile phone companies in Pakistan charge _______ per cent service charges informed by Attorney General Ashtar Ausaf to the Apex Court.,"B. 11
C. 12
D. 13",A. 10
Which Indian prisoner released by Pakistan’s Government after spending 5 years In Pak Jail?,"A. Nehal Ansari

C. Rabhu kumar
D. Rahul kailas",B. Jitendra Arjunwar
COAS General Qamar Javed Bajwa inaugurated fencing of Pak-Afghan border on ______________.,"A. May 6, 2018
B. May 7, 2018

D. May 9, 2018","C. May 8, 2018"
COAS Gen Qamar Javed Bajwa inaugurated the work for erecting fences along the ________ border near Panjpai area of Balochistan.,"A. Pak-China
B. Pak-India

D. Pak-Iran",C. Pak-Afghan
______ percent of the youth own a mobile phone in Pakistan.,"A. 35
B. 41

D. 52",C. 48
______ percent of the youth have access to radio in Pakistan.,"B. 10
C. 12
D. 14",A. 8
______ percent of the youth have access to the Internet in Pakistan.,"A. 10

C. 20
D. 25",B. 15
______ percent of the youth do not have access to recreational facilities in Pakistan.,"A. 70
B. 80
C. 60",D. 90
Constable _______________ is the first woman to join the Rawalpindi police’s bomb disposal squad (BDS).,"A. Amna Naveed
B. Sadia Ameen
C. Sana Usman",D. Athia Batool
"The ___________ court acquitted Imran Khan in the SSP Junejo attack case on May 4, 2018.","A. SC
B. IHC

D. PHC",C. ATC
Which province of  Pakistan has the lowest HDI?,"A. Punjab
B. Sindh
C. KPK",D. Baluchistan
Which province of Pakistan has the highest HDI?,"B. Sindh
C. KPK
D. Baluchistan",A. Punjab
__________ has the lowest Human Development Index (HDI) in Pakistan.,"B. GB
C. AJ&K
D. Islamabad",A. FATA
_________ has the highest Human Development Index (HDI) in Pakistan.,"A. FATA
B. GB
C. AJ&K",D. Islamabad
______ percent of the total population of Pakistan is between the ages of 15 and 29 years.,"A. 26
B. 27
C. 28",D. 29
______ percent of the total population of Pakistan is below the age of 30.,"A. 61
B. 62
C. 63",D. 64
"Which country has currently  the largest percentage of young people ever recorded in its history, according to the new National Human Development Report launched by the United Nations Development Programme (UNDP) Pakistan?","A. India
B. Afghanistan
C. China

E. America",D. Pakistan
Jamaat-i-Islami left the PTI-led ruling coalition on __________.,"A. May 2, 2018

C. May 4, 2018
D. May 5, 2018","B. May 3, 2018"
An anti-terrorism court (ATC) in Multan on 5th-May-2018 handed an ___________ prison sentence to a man accused of robbery for threatening and hurling his shoe at a Civil Judge during his hearing.,"A. 5 year
B. 9 year
C. 12 year",D. 18 year
Which party leadership has issued show cause notices to its 20 MPAs for allegedly selling vote in the recent Senate elections?,"A. MQM

C. PML-N
D. JI",B. PTI
________ political party has become part of the Muttahida Majlis-i-Amal.,"A. PSP
B. ANP

D. PPP",C. JI
PTI’s leadership issued show cause notices to its _____ MPAs for allegedly selling vote in the recent Senate elections.,"A. 14
B. 16
C. 18

E. 22",D. 20
"Pakistan achieves ______% growth rate, highest in 13 years.","A. 5.69

C. 5.89
D. 5.92",B. 5.79
Pakistan retained the top spot in the annual International Cricket Council (ICC) ________ cricket rankings.,"A. ODI
B. Test

D. PSL",C. T20
Which Pakistani spin bowler has been handed suspension three times from international cricket by ICC after founding his bowling action to be illegal?,"A. Saeed Ajmal
B. Shadab Khan

D. Yasir Shah",C. Muhammad Hafeez
Muhammad Hafeez bowling action was cleared by ICC on _______________.,"B. May 2, 2018
C. May 3, 2018
D. May 4, 2018","A. May 1, 2018"
"Which Pakistani cricket player bowling action cleared by ICC on May 1, 2018?","A. Muhammad Amir
B. Junaid Khan
C. Shadab Khan",D. Muhammad Hafeez
Sajid Javid is the _______ muslim to serve as the British Home Secretary.,"B. 2nd
C. 3rd
D. 4th",A. 1st
British-Pakistani ___________ has been appointed the new Home Secretary of the United Kingdom.,"A. Aslam Quraishi
B. Junaid Ahmad

D. Salman Sharif",C. Sajid Javid
New Islamabad International Airport was inaugurated on ______________.,"B. May 2 2018
C. May 3 2018
D. May 4 2018",A. May 1 2018
PPP’s Saleem Mandviwalla is the______________Deputy Chairman of the senate of Pakistan.,"A. 10th
B. 11th

D. 14th",C. 12th
"The _____________ found suspended SSP Rao Anwar guilty of killing an innocent person, Naqeeb Ullah Mehsud, in a fake encounter on Apr.21.2018.","A. Chief Justice of Pakistan

C. Inter Services Intelligence
D. Criminal Investigation Department",B. Joint Investigation Team
Rs ______ billion has been announced by government for development in Karachi in the Federal Budget 2018-19.,"A. 21
B. 23

D. 27",C. 25
Rs ______ billion has been allocated to Diamer Bhasha Dam in the Federal Budget 2018-19.,"A. 21.7
B. 22.7

D. 24.7",C. 23.7
Rs ______ billion has been allocated to Water sector in the Federal Budget 2018-19.,"A. 69
B. 59

D. 89",C. 79
An allocation of Rs ______ billion has been proposed to roads (motorways) in the Federal Budget 2018-19.,"B. 320
C. 330
D. 340",A. 310
100 100 100 special package announced in the Federal Budget 2018-19 is for _________.,"A. Health

C. Development
D. Roads",B. Education
Special education package  announced for children in the Federal Budget 2018-19 is called _____________ .,"B. 200 200 200
C. 300 300 300
D. 50 50 50",A. 100 100 100
"In PSDP, Rs ______ billion has been allocated to the federal government in the Federal Budget 2018-19.","A. 600
B. 700

D. 900",C. 800
"In PSDP, Rs ______billion has been allocated to the provinces in the Federal Budget 2018-19.","A. 650
B. 750

D. 950",C. 850
Rs _______ billion has been allocated to PSDP in the Federal Budget 2018-19.,"A. 1,450
B. 1,550

D. 1,750","C. 1,650"
The defence budget has been set at Rs _______ billion in the Federal Budget 2018-19.,"B. 1,200
C. 1,300
D. 1,400","A. 1,100"
A _____ percent increase has been proposed for pensioners in the Federal Budget 2018-19.,"A. 8
B. 9

D. 11",C. 10
"Federal Budget 18-19, the minimum pension has been increased to Rs _________ from the current Rs 6,000 for  low-paid pensioners.","A. 8,000
B. 9,000

D. 11,000","C. 10,000"
"Federal Budget 18-19, family pension has been increased to Rs ________ from Rs 4,500 previously.","A. 5,500
B. 6,500

D. 8,500","C. 7,500"
"Federal Budget 18-19, the minimum pension of pensioners above the age of 75 will be Rs_________.","A. 9,000
B. 11,000
C. 13,000","D. 15,000"
"Federal Budget 18-19, A ____ percent ad-hoc relief allowance has been provided to civil and armed forces employees.","A. 8
B. 9

D. 11
E. 12",C. 10
"Federal Budget 18-19, Rs________ has been proposed for “PM’s Youth Scheme”.","A. 5bn

C. 15bn
D. 20bn",B. 10bn
"Federal Budget 18-19, Rs________ has been allocated to the BISP.","A. 115bn

C. 135bn
D. 145bn",B. 125bn
"Federal Budget 18-19, the total budget outlay has been set at Rs____________.","A. 5,732.5bn
B. 5,832.5bn

D. 5,632.5bn","C. 5,932.5bn"
"Miftah Ismail  was appointed the new federal minister for Finance, Revenue and Economic Affairs on _________.","A. April 24, 2018
B. April 25, 2018
C. April 26, 2018","D. April 27, 2018"
What is the position of Pakistan in world Tourism ranking 2017?,"A. 99 out of 136
B. 116 out of 136
C. 120 out of 136",D. 124 out of 136
PML-N Government presented ______ full term budget in the National Assembly.,"A. 4th
B. 5th

D. 7th",C. 6th
Pakistan’s Federal Budget for 2018-19 was presented on _________.,"A. April 24, 2018
B. April 25, 2018
C. April 26, 2018",D.
"According to PTDC,  how many percent of tourists were domestic in 2017?","A. 10pc
B. 20pc
C. 25pc",D. 30pc
The Council of Common Interest (CCI) in its _____ meeting unanimously approved the first ever National Water Policy (NWP) of Pakistan.,"A. 36th

C. 38th
D. 39th",B. 37th
Who is the Current Captain of Pakistan Disabled Cricket Team ?,"B. bisma maroof
C. Nasir Khan
D. Younis Khan",A. Nihar Alam
"According to the World Travel and Tourism Council (WTTC), Revenue from tourism contributed how much in pak’s economy in 2017?","A. $10.9 billion
B. $12.4 billion
C. $15.3 billion",D. $19.4 billion
"Improvement in Security situation, tourism in Pakistan has increased by how many Pc in past few years ?","A. 100pc
B. 115pc
C. 200pc",D. 300pc
"According to (WTTC) report, how many tourists visited pakistan in 2017?","A. 1.55 m
B. 1.60 m
C. 1.70 m",D. 1.75 m
Federal Minister of Pakistan Khwaja Asif has been disqualified  for holding a _______ iqama (visa).,"A. Uk
B. USA

D. India",C. UAE
Which Federal Minister of Pakistan has been disqualified  for holding a iqama (visa)?,"A. Talal Chaudhry
B. Nihal Hashmi

D. Danyal Aziz",C. Khwaja Asif
Khawaja Asif was disqualified under Article___________ by IHC.,"A. 62(1)(d)
B. 62(1)(e)

D. 62(1)(g)",C. 62(1)(f)
Khwaja Asif was disqualified for life on ____________.,"A. April 23, 2018
B. April 24, 2018
C. April 25, 2018","D. April 26, 2018"
____________ is the Pakistan’s first hand-drawn anime film.,"B. My Neighbor Totoro
C. Kiki’s Delivery Service
D. Howl’s Moving Castle",A. The Glassworker
"Prof _______________ , the Vice Chancellor of Lahore College for Women University (LCWU) has been suspended by CJP.","A. Tahira Qureshi
B. Sadia Qureshi

D. Amna Qureshi",C. Uzma Qureshi
The Chief Justice of Pakistan has recently suspended the Vice Chancellor of _________ College for Women University.,"A. Karachi
B. Quetta

D. Benazir
E. Bacha Khan",C. Lahore
The blind candidate who stood first in civil judge exam but was rejected of his blindness is________?,"A. Akbar wali
B. Shams hairder
C. Feroz khan",D. Yousuf Saleem
"Name the Pakistan Army cadet, who won ‘International Medal’ at Royal Military Academy Sandhurst ( RMAS) UK in April 2018?","A. Bilal khan

C. Muhammad yaseen
D. none of them",B. Sheroz Shahid
Pakistan secured which place in Commonwealth games 2018 Hockey?,"A. 6th
B. 8th

D. 3rd",C. 7th
"Pakistan conducted a successful test of an enhanced range version of the indigenously developed Babur cruise missile to bolster the country’s deterrence capabilities,range 700km,on which date?","A. 8 April 2018

C. 10 April 2018
D. 12 April 2018",B. 14 April 2018
Who won bronze medal in weightlifting for Pakistan in Commonwealth Games 2018?,"A. Usman Amjad Rathore

C. Younas Marwat
D. Gul Zaib",B. Talha Talib
"On April 18, 2018, The Pakistani-Australian engineer__________received the Commonwealth Person of the Year Award?","A. Agha Waqar

C. Ayaz Ahmed
D. Salman Mushtaque",B. Usman Iftikhar
Russia will invest  in the construction of North-South gas pipeline _________?,"A. $1 billion

C. $3 billion
D. $4 billion",B. $2 billion
Pakistan won the Cricket T20 World Cup in________?,"A. 2007
B. 2008

D. 2011",C. 2009
Jam Saqi a veteran pro democracy politician famous for Jam Saqi case in judicial history of Pakistan was died on__________?,"B. 18 March 2018
C. 25 March 2018
D. 25 February 2018",A. 5 March 2018
Who was selected player of the first match in his debut in the series of three T20s against west indies in Karachi?,"B. Asif Ali
C. Shaheen Afridi
D. None of Them",A. Hussain Talat
Prime Minister Shahid Khaqan Abbasi joined 25th Commonwealth Heads of Government Meeting (CHOGM-2018) in which country?,"A. USA
B. France
C. Norway",D. UK
Recently Pakistan has regained the membership of how many UN bodies?,"A. 1

C. 3
D. 4",B. 2
"Setting a new precedent, Pakistan for the first time in its 70 years history appointed a female diplomat Named______?","A. Razia sultan
B. Mahira razzaq
C. Sherry rehman",D. Fozia Fayyaz Ahmed
"Setting a new precedent, Pakistan for the first time in its 70 years history appointed a female diplomat in ______?","A. Iran
B. India
C. China",D. Saudi Arabia
People in _____ categories are entitled to security in Pakistan.,"A. 8
B. 10

D. 14",C. 12
"The world’s largest Cargo aircraft,Antonov AN-225 Mriya, made it’s first landing in karachi for refueling on______?","A. 18 april 2018
B. 19 april 2018

D. 21 april 2018",C. 20 april 2018
"As per Chief Justice of Pakistan information, ______ policemen were assigned the security of non-entitled persons.","A. 6,000

C. 8,000
D. 9,000","B. 7,000"
"_____ death anniversary of Allama Iqbal was observed on April 21, 2018.","A. 79

C. 81
D. 82",B. 80
____ police guards had been withdrawn from non-entitled persons in Punjab in light of a recent Supreme Court order.,"B: 5,610
C: 6,610
D: 7,610","A: 4,610"
Balouch Culture Day 2018 was observed on:____________?,"A. 2nd january
B. 2nd February

D. 2nd April",C. 2nd March
"In April 2018, the Pakistan High Commission issued visas to over how many Sikh devotees from India for the Baisakhi Festival?","A. 1000

C. 3000
D. 4000",B. 2000
How many Pakistani blue helmets have embraced martyrdom while serving under the UN umbrella.?,"A. 150

C. 160
D. 165",B. 156
How Many Pakistani peacekeepers who laid down their lives for global peace and security were honoured with a medal at the annual memorial ceremony held at United Nations ?,"A. 5

C. 9
D. 11",B. 7
"Name the Wrestler, who won first gold medal for Pakistan in the 86kg freestyle wrestling in Common Wealth Games 2018?","B. Muhammad Sajjad
C. Jansher khan
D. Samiullah Khan",A. Muhammad Inam Butt
Pakistan wins only 1 Gold Medal in Which Sports of Common Wealth Games 2018?,"A. Athletics

C. Table tennis
D. Squash
E. Boxing",B. Wrestling
Pakistan got _______ Position in Common Wealth Games 2018?,"A. 13th
B. 15th
C. 19th",D. 24th
Pakistan Wins _______ Medals in Common Wealth Games 2018?,"A. 3

C. 9
D. 15",B. 5
Lahore High Court orders PIA (Pakistan International Airlines) to include ______ percent  female quota in recruitment of Pilots:,"A. 5%

C. 15%
D. none",B. 10%
"Pakistan and the Asian Development Bank (ADB) on 13 April,2018 signed two loan agreements worth _________ million in an effort to improve irrigation services and promote public-private partnerships (PPPs) in Punjab.","B. $360
C. $355
D. $350",A. $375
Bilawal Bhutto inaugurated the first Tharparkar Airport on 11th April 2018 named___________?,"A. Fatima Bibi Airpoet
B. Benazir Bhutto Airport

D. Bibi Noreen Airport",C. Maai Bakhtawar Airport
Which country’s diplomat was briefly detained for killing a motorcyclist in a hit and run case on 7th April 2018?,"B. China
C. Japan
D. Russia",A. USA
"As per commission report,how many flights have delayed or cancelled at Karachi and Islamabad airport in last three months?","A. 200
B. 250

D. 300",C. 260
"Who is the first woman candidate from FATA,who contested the general election for National assembly seat?","A. Ali begum

C. Shaista ikram
D. Nabiha junaid",B. Badam Zari
"Who is leading Pashtun tahafuz movement,demanding security for Pakistani ethnic pashtun minority?","A. Abu bakar siddique

C. Said Alam
D. Ali Wazir",B. Manzoor Pashteen
"What is the Name of Pakistan’s first-ever school for transgender community, which is set to open in Lahore on 15th April 2018?","A. The Gender Educator

C. The Gender Graduate
D. Transgender School",B. The Gender Guardian
Pakistan’s First School for Transgender Community to Open in___________ ON 15th April 2018?,"A. Peshawar
B. Islamabad

D. Karachi",C. Lahore
Which country’s air chief has attended PAF passing out parade at Asghar Khan Academy on 13 April 2018 as chief guest?,"B. Iran
C. S.Arabia
D. USA",A. China
"Name the Chief of General Staff (CGS) of UK Army, who Visited Pakistan on Two Days visit in April 2018?","A. Gen Sir David Richards
B. Gen Sir Peter Wall

D. Gen Sir Richard Dannatt",C. Gen Sir Nick Carter
"CJP has ordered to place all PIA MDs on ECL,who served from ________?","A. 2000-2018
B. 2005-2018
C. 2006-2018",D. 2008-2018
Which local singer was gunned down in Larkana for declining dance request?,"A. Fozia soomro

C. Abida parveen
D. Sanam Marvi",B. Samina sindhu
"As per YouGov’s latest annual study 2018,Imran Khan is on which spot in the list of most admired man in the world?","A. 15th
B. 18th

D. 5th",C. 20th
"As per YouGov’s latest annual study 2018,Malala Yousafzai is on which spot in the list of most admired woman in the world?","A. 20th
B. 12th

D. 5th",C. 7th
"How many individuals of Pakistani origin have been featured on Forbes,the top american business magazine’s “30 under 30” list of 2018?","A. 11
B. 10

D. 8",C. 9
Which district of Pakistan will have Pakistan’s first super critical coal-fired plant?,"A. Dadu

C. Badin
D. Thatta",B. Jamshoro
"After winning ODI Series,Pakistan women cricket team has also won T20I Series against which country in March 2018?","B. Bangladesh
C. India
D. Australia",A. Srilanka
Which famous politician has been disqualified for lifetime by SC?,"A. Nawaz Sharif
B. Jahangir Tareen

D. None",C. Both
SC has issued a ban on politicians holding office after legal disqualification.This ban will be valid upto?,"A. 5 years
B. 10 years

D. 1 year",C. Lifetime
Ayaz Sadique was the_________Speaker of National Assembly of Pakistan?,"A. 19th

C. 21st
D. 22nd",B. 20th
On 6 April 2018___________________ Ambassador German Alejandro Ortega Almeida has suggested that Pakistan could achieve better access to South American markets by developing close cooperation.,"B. Brazil
C. Colombia
D. Argentina",A. Ecuador
How many Pakistani Women are representing their homeland in the Commonwealth Games 2018?,"A. 5

C. 15
D. 20",B. 10
"PM announces simplified income tax package, amnesty scheme for foreign assets on________?","A. 4 April 2018
B. 6 April 2018

D. 7 April 2018",C. 5 April 2018
Which Player becomes ICC’s top-ranked T20 batsman for the second time in April 2018?,"A. Shadab Khan

C. Shoaib Malik
D. Ahmed Shehzad",B. Babar Azam
who won the 3 T20 international series 2018 between Pakistan and west Indies at Karachi?,"A. west Indies won by 2-1
B. Pakistan won by 2-1
C. the series is level 1-1",D. Pakistan won by 3-0
"Which one is the country to use China based system made by BeiDou, GPS can help with urban planning, surveying and mapping environmental supervision, disaster relief efforts, traffic monitoring and other fields?","A. Uruguay
B. Italy
C. Brazil",D. Pakistan
How many wickets earned by Faheem Ashraf in PSL 2018?:,"B. 19
C. 20
D. 21",A. 18
Punjab Government approved construction of Dadhocha Dam in_________.,"A. Faisalabad
B. Mianwali

D. Chiniot",C. Rawalpindi
The first British- Pakistani woman became the first ever Muslim and Asian Woman to be appointed as detective superintendent of Scotland Yard is____________?,"A. Sajida Vandal
B. Musrat Hayat
C. Naheed Pasha",D. Shabnam Chaudri
"When NA passes Resolution against Imran Khan, Sheikh Rashid?","B. January 17, 2018
C. January 19, 2018
D. January 20, 2018","A. January 18, 2018"
"The Punjab Government directed adminsitraion to remove plaques bearing names of Ministers, MNA’s, MPA’s and local leaders on development schemes installed since _________?","A. 01 Jan 2018
B. 28 Feb 2018

D. 01 March 2017",C. 01 March 2018
Around _____ billion m3 of gas would be transported from Karachi to Lahore per annum through North-South gas pipeline.,"A. 10.4
B. 11.4

D.13.3",C. 12.4
The total length of North-South gas pipeline is__________?,"A. 1000 km
B. 900 km

D. 1200 km",C. 1100 km
The GDP growth rate for the financial year 2016-17 was recorded as___________?,"A. 4.88 %

C. 5.35 %
D. 5.67 %",B. 5.28 %
Youngest Nobel Prize laureate and education activist Malala Yousafzai set foot in Pakistan after__________?,"A. 9 years
B. 6 years

D. 4 years",C. 5 years
Who was the last President of International Cricket Council (ICC) ?,"A. Alan Issac
B. David Richardson

D. Shashank Manohar",C. Zaheer Abbas
Malala yousafzai has visited Pakistan after how much time?,"A. 5 years
B. 4 years

D. 6 years",C. 5.5 years
"When malala yousafzai and her two friends were shot by a gunman,after returning from school of her hometown?","A. 9 nov 2012
B. 9 Dec 2012

D. 9 Sep 2012",C. 9 oct 2012
Malala yousafzai has reached Pakistan on 29 March 2018 for ______ day visit?,"A. Three
B. Five

D. Six",C. Four
Which cricketer has been deported from dubai airport on 27 March 2018?,"A. Salman butt

C. M.Amir
D. Abdul Razzaq",B. M.Asif
Who has suspended ECP order of removing Farooq Sattar as MQM-P conveyor?,"A. SC

C. Lahore high court
D. Sindh high court",B. IHC
"As per chinese envoy,which part of Pakistan will be provided maximum benefits through CPEC?","A. Lahore

C. AJ&K
D. Sindh",B. GB
Which provincial goverment has okayed Rs 80m to establish 500 flats for police?,"A. Sindh goverment

C. Kpk goverment
D. Balochistan goverment",B. Punjab goverment
Aitzaz ahsan has returned fine amount paid by CJP’s son to him.How much fine amount was paid by CJP’s son on the behalf of Aitzaz ahsan?,"A. 20k
B. 30k
D. 50k",C. 10k
"As per record, ________ children have died in tharparkar district due to viral infection and malnutrition in March 2018?","A. 50
B. 60

D. 56",C. 47
Which district of sindh is continiously facing viral infection and malnutrition claiming infant lives?,"A. Badin

C. Dadu
D. Ghotki",B. Tharparkar
Who said ” I left swat with my eyes closed and now I am back with my eyes open” after her return to hometown?,"A. Kainat riaz

C. Shazia ramzan
D. Ziauddin yousafzai",B. Malala yousafzai
Who welcomed WI cricket team at Quaid-e-azam international airport with traditional gifts on 31 march 2018?,"A. Murad ali shah

C. Najam sethi
D. Bilawal bhutto",B. Sardar M.bux khan mahar
Pakistan President announced a new medal on 23-March-2018?,"A. Tamgha-i-Shuja

C. Tamgha-i-Imtiaz
D. Tamgha-I-QUAID-E-AZAM",B. Tamga-i-Azam
Pakistan Army launches android Base Game on 23-March-2018?,"A. Pak Army Sniper
B. Pakistan Armed

D. Pakistan Army JAWAN",C. The Glorious Resolve
